ID_Menu,Nama_Menu,Restoran,Kota
MNU000684,Kopi Susu Gula Aren,Warung Pak Budi,Bogor
MNU000099,Bakso Urat,Resto Premium,BALIKPAPAN
MNU000805,Soto Ayam Lamngan,Warung Pak Budi,mALANG
MNU000728,Gado-gado,Cafe Kopi Nusantara,mEDAN
MNU000574,Nasi Goreng Spesial,Rumah Makan Padang,Semarang
MNU000407,Cappuccino,RM Sederhana,Kota Tidak Diketahui
MNU000503,Soto Ayam Lamongan,RM Sederhana,medn
MNU000048,Nasi Uduk,Warung Tegal,Bandung
MNU000930,Nasi Padang,Warung Tegal,Yogyakarta
MNU000780,Rendang Daging,Cafe Kopi Nusantara,PALEMBANG
MNU000840,Nasi UdUk,Cafe Kopi Nusantara,Denpasar
MNU000201,Nasi Uduk,Kedai Soto,BANJARMASIN
MNU000135,Rawon SSurabaya,Rumah Makan Padang,mEDAN
MNU000028,Rendang Daging,REsto Premium,Bailkpapan
MNU000879,Es Teh Manis,Rumah Makan Padang,sURABAYA
MNU000231,Rendang Daging,Depot Makan Enak,Makassar
MNU000490,Gado-gado,Cafe Kopi Nusantara,TANGERANG
MNU000773,Kopi Susu Gula Aren,Warung Tegal,balikpapan
MNU000379,Es Teh Manis,Kedai Soto,Malang
MNU000289,Ayam Bakar,Resto Premium,Maloang
MNU000419,Nasi Goreng Spesial,RM Sederhana,sURABAYA
MNU000675,Nasi Uduk,Depot Makan Enak,Banjarmasin
MNU000392,Rendang Daging,RM Sederhana,Makassar
MNU000593,Gado-gado,RM Sederhana,pontianak
MNU000499,Pecel Lele,Rumah Makan Padang,Pekanbbaru
MNU000139,Bakso Urat,Restoran Tidak Diketahui,bekasi
MNU000063,Nasi tUduk,RM Sederhana,bEKASI
MNU000648,Kopi Susu Gula AAren,Resto Premium,Kota Tidak Diketahui
MNU000129,n/a,Cafe Kopi Nusantara,Bogor
MNU000521,Es Teh Manis,RM Sederhana,Denpasar
MNU000839,Rawon Surabaya,Warung Tegal,Tangerang
MNU000065,Soto Ayam Lamongan,Depot Makan Enak,Suabaya
MNU000813,Soto Aam Lamongan,RM Sederhana,Kota Tidak Diketahui
MNU000157,Nasi Goreng Spesial,Restoran Tidak Diketahui,makassar
MNU000041,Mie Ayam Bakso,Rumah Makan Padang,Depok
MNU000493,Rendan Daging,Rumah Makan Paadang,Pontianak
MNU000380,Pceel Lele,Cafe Kopi Nusantara,Kota Tidak Diketahui
MNU000188,Soto Ayam Lamongan,Kedai Soto,batam
MNU000764,Martabak Telor,Resto Premium,Banjarmasin
MNU000217,Mie Ayam Bakso,Warung pak Budi,Denpasar
MNU000922,Bakso Urat,Depot Makan Enak,sEMARANG
MNU000792,Kopi Susu Gula Aren,Restoran Tidak Diketahui,Balikpqapan
MNU000053,Ketoprak,Resto Premium,bEKASI
MNU000338,Kopi Susu Gula Aren,Kedai Soto,Bekasi
MNU000749,Opor Ayam,Resto Premium,Kota Tidak Diketahui
MNU000720,Rawon Surabaya,Kedai Soto,batam
MNU000296,Sate Ayam,Depot Makan Enak,YOGYAKARTA
MNU000702,Ayam Bakar,Warung Pak Budi,Medan
MNU000252,Mie Ayam Bakso,RM Sedderhana, 
MNU000727,Ayam Bakar,Depot Makan Enak,Yogyakarta
MNU000462,Nasi Padang,Warung Pak Budi,PEKANBARU
MNU000456,Es Teh Manis,Warung Pak Budi,bANJARMASIN
MNU000271,Ayam Bakar,Kedai Soto,Semarang
MNU000816,Mie Ayam BBakso,RM Sederhana,sURABAYA
MNU000863,Cappuccino,Resto Premium,Yogyakarta
MNU000270,Rawon Surabaya,Depot Makan Enak,Manado
MNU000996,Nasi Goreng Spesial,Depot Makan Enak,pEKANBARU
MNU000202, ,Warung Pak Budi,Denpasar
MNU000162,Roti Bakar,KeDai Soto,Banjarmasin
MNU000730,Martabak Telor,Depot Makan Enak,depok
MNU000402,Mie Ayam Bakso,Resto Premium,Denpasar
MNU000703,Opor Ayam,Warung Pak Budi,SURABAYA
MNU000566,Nasi Padang,Kedai Soto,Surabayya
MNU000206,Nasi Goreng Spesial,Warung Tegal,Semarang
MNU000035,Kopi Susu Gula Aren,Resto Premium,Denpasar
MNU000776,Soto Ayam Lamongan,Resto Premium,Pontianak
MNU000092,Nasi Goreng Spesal,Kedai Soto,yOGYAKARTA
MNU000565,Opor Ayam,Resto Premium,Kota Tidak Diketahui
MNU000777,,Depot Makan Enak,Medan
MNU000014,Mie Ayam Bakso,Warung Pak Budi,Pekanbaru
MNU000316,Martabak Telor,Restoran Tidak Diketahui,pALEMBANG
MNU000601,Opor Ayam,Warung Tegal,Pekaunbaru
MNU000388,Pecel Lele,Cafe Kopi Nusantara,Kota Tidak Diketahui
MNU000167,Rawon Surabaya,RM Sederhana,tangerang
MNU000841,-,Warung Tegal,JAKARTA
MNU000021,Kopi Susu Gula Aren,RM Sederhana,medan
MNU000832,Tidak Ada,RM Sederhana,Tangerang
MNU000563,none,RM Sederhana,Banjarmasin
MNU000687,Basko Urat,Cafe Kopi Nusantara,Kota Tidak Diketahui
MNU000958, ,RM Sederhana,Yogyakarta
MNU000190,Bakso Urat,Depot Makan Enak,Malang
MNU000976,Nasi Goreng Spesial,Warung Pak qBudi,dENPASAR
MNU000700,Es Teh Manis,Depot Makan Enak,Pontianak
MNU000511,Rawon Surabaya,Cafe Kopi Nusantara,Banjarmasin
MNU000475,Mie Ayam Bakso,Rumah Makan Padang,Bogor
MNU000857,Nasi Padang,Kedai Soto,mANAADO
MNU000748,Mie Ayam Bakso,Cafe Kopi Nusantara,Kota Tidak Diketahui
MNU000253,Opor Ayam,Warung Pak Budi,mAKASSAR
MNU000022,Martabak Telor,Kedai Soto,Pekanbaru
MNU000460,Sate Ayam,Resto Premium,MAKASSAR
MNU000277,Gado-gado,Depot Makan Enak,Medoan
MNU000956,Ayam Bakar,Rumah Makan Padang,bekasi
MNU000386,Mie Ayam Bakso,Resto Premium,BATAM
MNU000806,Jus Alpukat,Warung Pak Budi,Batam
MNU000344,Rendang Daging,Warung Tegal,Pontianak
MNU000770,Mie Ayam Bakso,Kedai Soto,Manado
MNU000131,Es Teh Manis,Kedai Soto,bekasi
MNU000088,Ayam Bakar,Depot Makan Enak,palembang
MNU000331,Ketoprak,Resto Premium,Tangerang
MNU000467,Rendang Daging,Kedai oto,Medan
MNU000122,Mie Ayam Bakso,Rumah Makan Padang,Kota Tidak Diketahui
MNU000861,Roti Bakar,RM Sederhana,Tangerang
